timestamp,takim_numarasi,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis,zaman_farki
11:32:0,3,41.5134,36.1187,-2.32,4.2199,99.0643,-1.962,1367.0
11:32:1,3,41.5134,36.1187,-2.34,4.2095,99.0641,-1.9977,1232.0
11:32:2,3,41.5134,36.1187,-2.36,4.2001,99.0696,-2.0711,1177.0
11:32:3,3,41.5134,36.1187,-2.39,4.1874,99.0618,-2.1819,1247.0
11:32:4,3,41.5134,36.1187,-2.35,4.1808,99.065,-2.0123,1142.0
11:32:5,3,41.5134,36.1187,-1.83,4.1807,99.0638,-2.0626,1016.0
11:32:6,3,41.5134,36.1187,-1.8,4.2032,99.0502,-1.9138,985.0
11:32:7,3,41.5134,36.1187,-1.77,4.2023,99.0421,-2.0184,909.0
11:32:8,3,41.5134,36.1187,-1.76,4.2196,99.0367,-2.0746,847.0
11:32:9,3,41.5134,36.1187,-1.76,4.2196,99.0367,-2.0746,1689.0
11:32:9,3,41.5134,36.1187,-1.8,4.2537,99.0429,-1.9626,1704.0
11:32:10,3,41.5134,36.1187,-1.84,4.2646,99.034,-1.9586,1579.0
11:32:11,3,41.5134,36.1187,-1.67,4.2539,99.0336,-1.9866,1479.0
11:32:12,3,41.5134,36.1187,-1.66,4.2574,99.036,-2.0307,1598.0
11:32:13,3,41.5134,36.1187,-1.63,4.2686,99.0371,-1.9859,1491.0
11:32:14,3,41.5134,36.1187,-1.61,4.2468,99.0309,-2.0031,1394.0
11:32:15,3,41.5134,36.1187,-1.56,4.2255,99.032,-1.898,1368.0
11:32:16,3,41.5134,36.1187,-1.5,4.214,99.0319,-1.8951,1210.0
11:32:17,3,41.5134,36.1187,-1.63,4.2131,99.0268,-1.9528,1186.0
11:32:18,3,41.5134,36.1187,-1.63,4.2077,99.0072,-1.8299,1133.0
11:32:19,3,41.5134,36.1187,-1.61,4.1977,99.0017,-1.962,1159.0
11:32:20,3,41.5134,36.1187,-1.59,4.2031,98.9934,-1.9996,1412.0
11:32:21,3,41.5134,36.1187,-1.58,4.2128,98.9978,-2.0542,1385.0
11:32:22,3,41.5134,36.1187,-1.6,4.2244,98.9967,-2.0102,1329.0
11:32:23,3,41.5134,36.1187,-1.29,4.2514,98.9931,-2.0155,1183.0
11:32:24,3,41.5134,36.1187,-1.24,4.2501,98.9854,-2.0401,1190.0
