sent_time,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:09:57.183000,41.5130959,36.119297,-1.226,-1.32590342,44.0,1.31732583
14:09:58.253000,41.5130959,36.119297,-1.236,-1.34940159,44.0,1.36600351
14:09:59.331000,41.5130959,36.119297,-1.23,-1.3469739,44.0,1.47959709
14:10:00.398000,41.5131,36.119297,-1.285,-1.36576974,44.0,1.40840924
14:10:01.371000,41.5131,36.119297,-1.305,-1.348305,44.0,1.26494348
14:10:03.323000,41.5130959,36.119297,-1.332,-1.32598281,44.0,1.4206413
14:10:05.378000,41.5130959,36.119297,-1.333,-1.30603778,44.0,1.474112
14:10:06.428000,41.5130959,36.119297,-1.322,-1.30941021,44.0,1.30166876
14:10:07.497000,41.5130959,36.119297,-1.314,-1.3250339,44.0,1.31121767
14:10:08.067000,41.5130959,36.119297,-1.312,-1.307438,44.0,1.3023957
14:10:09.212000,41.5130959,36.119297,-1.277,-1.34146023,44.0,1.11252379
14:10:10.147000,41.5130959,36.1192932,-1.267,-1.35538018,44.0,1.2743187
14:10:11.196000,41.5130959,36.1192932,-1.28,-1.34298742,44.0,1.40395808
14:10:11.339000,41.5130959,36.1192932,-1.304,-1.3240335,44.0,1.276472
14:10:12.391000,41.5130959,36.1192932,-1.315,-1.3354634,44.0,1.2102797
14:10:13.363000,41.5130959,36.1192932,-1.3,-1.31390643,44.0,1.35389781
14:10:14.399000,41.5130959,36.1192932,-1.295,-1.32854331,44.0,1.52018774
14:10:15.462000,41.5130959,36.1192932,-1.274,-1.34503758,44.0,1.41503263
14:10:16.531000,41.5130959,36.1192932,-1.283,-1.349148,44.0,1.38455737
14:10:17.601000,41.5130959,36.1192932,-1.282,-1.353228,44.0,1.35881031
14:10:18.662000,41.5130959,36.1192932,-1.267,-1.356025,44.0,0.884024262
14:10:19.734000,41.5131073,36.1193047,-1.263,-1.05946124,44.0,0.3409624
14:10:20.711000,41.5131378,36.11937,-1.009,3.87383652,36.0,-1.17990935
14:10:23.650000,41.5132561,36.1196365,11.654,16.4877224,38.0,24.1390057
14:10:23.737000,41.5132561,36.1196365,11.654,16.4877224,38.0,24.1390057
14:10:24.814000,41.5132866,36.11977,16.984,6.527827,57.0,16.4755249
14:10:25.959000,41.513298,36.1198845,19.936,3.89394259,60.0,12.4180946
14:10:26.949000,41.5132446,36.12024,23.327,2.43180943,95.0,41.9052544
