sent_time,iha_enlem_meters,iha_boylam_meters,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:09:57.183000,1456.1976398449601,1607.0556315961408,-1.226,-1.32590342,44.0,1.31732583
14:09:58.253000,1456.1976398449601,1607.0556315961408,-1.236,-1.34940159,44.0,1.36600351
14:09:59.331000,1456.1976398449601,1607.0556315961408,-1.23,-1.3469739,44.0,1.47959709
14:10:00.398000,1456.6535390436004,1607.0556315961408,-1.285,-1.36576974,44.0,1.40840924
14:10:01.371000,1456.6535390436004,1607.0556315961408,-1.305,-1.348305,44.0,1.26494348
14:10:03.323000,1456.1976398449601,1607.0556315961408,-1.332,-1.32598281,44.0,1.4206413
14:10:05.378000,1456.1976398449601,1607.0556315961408,-1.333,-1.30603778,44.0,1.474112
14:10:06.428000,1456.1976398449601,1607.0556315961408,-1.322,-1.30941021,44.0,1.30166876
14:10:07.497000,1456.1976398449601,1607.0556315961408,-1.314,-1.3250339,44.0,1.31121767
14:10:08.067000,1456.1976398449601,1607.0556315961408,-1.312,-1.307438,44.0,1.3023957
14:10:09.212000,1456.1976398449601,1607.0556315961408,-1.277,-1.34146023,44.0,1.11252379
14:10:10.147000,1456.1976398449601,1606.739167307579,-1.267,-1.35538018,44.0,1.2743187
14:10:11.196000,1456.1976398449601,1606.739167307579,-1.28,-1.34298742,44.0,1.40395808
14:10:11.339000,1456.1976398449601,1606.739167307579,-1.304,-1.3240335,44.0,1.276472
14:10:12.391000,1456.1976398449601,1606.739167307579,-1.315,-1.3354634,44.0,1.2102797
14:10:13.363000,1456.1976398449601,1606.739167307579,-1.3,-1.31390643,44.0,1.35389781
14:10:14.399000,1456.1976398449601,1606.739167307579,-1.295,-1.32854331,44.0,1.52018774
14:10:15.462000,1456.1976398449601,1606.739167307579,-1.274,-1.34503758,44.0,1.41503263
14:10:16.531000,1456.1976398449601,1606.739167307579,-1.283,-1.349148,44.0,1.38455737
14:10:17.601000,1456.1976398449601,1606.739167307579,-1.282,-1.353228,44.0,1.35881031
14:10:18.662000,1456.1976398449601,1606.739167307579,-1.267,-1.356025,44.0,0.884024262
14:10:19.734000,1457.4652620083446,1607.6968881801454,-1.263,-1.05946124,44.0,0.3409624
14:10:20.711000,1460.8567072709743,1613.1350771374398,-1.009,3.87383652,36.0,-1.17990935
14:10:23.650000,1474.0110670925544,1635.3292173655516,11.654,16.4877224,38.0,24.1390057
14:10:23.737000,1474.0110670925544,1635.3292173655516,11.654,16.4877224,38.0,24.1390057
14:10:24.814000,1477.4025123558915,1646.447107497739,16.984,6.527827,57.0,16.4755249
14:10:25.959000,1478.6701345192762,1655.9826761862253,19.936,3.89394259,60.0,12.4180946
14:10:26.949000,1472.7323254367445,1685.588743159503,23.327,2.43180943,95.0,41.9052544
14:10:28.024000,1454.4296405111113,1701.4119575719365,25.533,5.77749634,111.0,38.5585136
14:10:28.096000,1434.1365663981678,1707.4497630710935,28.771,9.382052,154.0,35.11357
14:10:30.069000,1412.498033673447,1706.8085064870702,33.059,12.1411028,177.0,33.04531
14:10:30.129000,1392.9944435396894,1701.0954932836123,37.603,14.8137426,193.0,43.4584045
14:10:31.180000,1377.2937198974998,1692.5176454705177,41.872,13.0123739,210.0,-20.6192417
14:10:32.252000,1356.5781050639,1684.2562619451903,47.229,8.170508,196.0,-16.2433624
14:10:33.215000,1341.0108153329384,1679.7591378486993,49.777,4.30434752,192.0,-11.777874
14:10:34.296000,1324.698519594615,1676.4279348140574,50.788,0.003944434,186.0,-8.78313351
14:10:35.360000,1299.2460008859005,1672.2639310204972,52.615,-0.637659848,180.0,-5.25917244
14:10:36.437000,1279.853605679227,1669.9570729186064,51.973,-3.310642,180.0,-3.95805931
